2025-10-24 13:39:41,475 - [INFO] - 步骤 1: 初始化投标优化模型...
2025-10-24 13:39:41,476 - [INFO] - 步驟 2: 執行神經動力學自適應網格投標策略優化...
2025-10-24 13:39:41,476 - [INFO] - --- 開始執行神經動力學自適應網格投標策略優化（模式: full）---
2025-10-24 13:39:41,490 - [INFO] - ✅ 数据输入配置:
2025-10-24 13:39:41,490 - [INFO] -   DAM（日前市场）: 'ensemble' (预测输出)
2025-10-24 13:39:41,491 - [INFO] -   RTM（实时市场）: 'actual' (ensemble预测)
2025-10-24 13:39:41,491 - [INFO] - ✅ 价格数据加载完成:
2025-10-24 13:39:43,277 - [INFO] - 正在精细化门槛区域 11/18: (373.00, 374.00)，步长: 0.2
2025-10-24 13:39:43,277 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,347 - [INFO] -   门槛区域 11 完成，成功优化 10 个点
2025-10-24 13:39:43,347 - [INFO] - 正在精细化门槛区域 12/18: (374.00, 375.00)，步长: 0.2
2025-10-24 13:39:43,347 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,407 - [INFO] -   已完成 180 个细化点
2025-10-24 13:39:43,432 - [INFO] -   门槛区域 12 完成，成功优化 10 个点
2025-10-24 13:39:43,432 - [INFO] - 正在精细化门槛区域 13/18: (378.00, 379.00)，步长: 0.2
2025-10-24 13:39:43,432 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,452 - [INFO] -   已完成 200 个细化点
2025-10-24 13:39:43,491 - [INFO] -   门槛区域 13 完成，成功优化 5 个点
2025-10-24 13:39:43,492 - [INFO] - 正在精细化门槛区域 14/18: (383.00, 384.00)，步长: 0.2
2025-10-24 13:39:43,492 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,560 - [INFO] -   已完成 220 个细化点
2025-10-24 13:39:43,632 - [INFO] -   门槛区域 14 完成，成功优化 5 个点
2025-10-24 13:39:43,632 - [INFO] - 正在精细化门槛区域 15/18: (384.00, 385.00)，步长: 0.2
2025-10-24 13:39:43,633 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:43,928 - [INFO] -   已完成 240 个细化点
2025-10-24 13:39:43,928 - [INFO] -   门槛区域 15 完成，成功优化 10 个点
2025-10-24 13:39:43,929 - [INFO] - 正在精细化门槛区域 16/18: (385.00, 386.00)，步长: 0.2
2025-10-24 13:39:43,929 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:44,338 - [INFO] -   门槛区域 16 完成，成功优化 10 个点
2025-10-24 13:39:44,339 - [INFO] - 正在精细化门槛区域 17/18: (388.00, 389.00)，步长: 0.2
2025-10-24 13:39:44,339 - [INFO] -   细化网格点数: 16
2025-10-24 13:39:44,401 - [INFO] -   已完成 260 个细化点
2025-10-24 13:39:44,647 - [INFO] -   门槛区域 17 完成，成功优化 5 个点
